Year;State;County;Number of Farms;Total Farm Area;Area per Farm;Land in Farms;Change Since 1970
;;;;acre;acre;%;%
1976;WI    ;Marathon;3900;719000;184;72.7;-0.8
1977;WI    ;Marathon;3780;717800;190;72.6;-0.1
1978;WI    ;Marathon;3750;713000;190;72.1;-0.5
1979;WI    ;Marathon;3700;707500;191;71.6;-0.6
1980;WI    ;Marathon;3650;698000;191;70.6;-1.0
1981;WI    ;Marathon;3590;697000;194;70.5;-0.1
1982;WI    ;Marathon;3550;693300;195;70.1;-0.4
1983;WI    ;Marathon;3470;639700;184;64.7;-5.4
1984;WI    ;Marathon;3410;626700;184;63.4;-1.3
1985;WI    ;Marathon;3290;623000;189;63.0;-0.4
1986;WI    ;Marathon;3270;620000;190;62.7;-0.3
1987;WI    ;Marathon;3300;621000;188;62.8;0.1
1988;WI    ;Marathon;3330;617000;185;62.4;-0.4
1989;WI    ;Marathon;3290;618000;188;62.5;0.1
1990;WI    ;Marathon;3250;618000;190;62.5;0.0
1991;WI    ;Marathon;3200;615000;192;62.2;-0.3
1992;WI    ;Marathon;3310;591000;179;59.8;-2.4
1993;WI    ;Marathon;3360;583000;174;59.0;-0.8
1994;WI    ;Marathon;3330;578000;174;58.5;-0.5
1995;WI    ;Marathon;3320;578000;174;58.5;0.0
1996;WI    ;Marathon;3310;570000;172;57.6;-0.8
1997;WI    ;Marathon;3250;569000;175;57.5;-0.1
1998;WI    ;Marathon;3230;566000;175;57.2;-0.3
1999;WI    ;Marathon;3230;563000;174;56.9;-0.3
1970;WI    ;Marinette;1210;214000;177;23.8;
1971;WI    ;Marinette;1150;211900;184;23.6;-0.2
1972;WI    ;Marinette;1180;212300;180;23.7;0.0
1973;WI    ;Marinette;1150;211600;184;23.6;-0.1
1974;WI    ;Marinette;1130;211000;187;23.5;-0.1
1975;WI    ;Marinette;1040;203000;195;22.6;-0.9
1976;WI    ;Marinette;990;196000;198;21.8;-0.8
1977;WI    ;Marinette;970;193300;199;21.5;-0.3
1978;WI    ;Marinette;950;190300;200;21.2;-0.3
1979;WI    ;Marinette;930;189100;203;21.1;-0.1
1980;WI    ;Marinette;910;187000;205;20.8;-0.2
1981;WI    ;Marinette;880;187000;213;20.8;0.0
1982;WI    ;Marinette;870;185900;214;20.7;-0.1
1983;WI    ;Marinette;900;192000;213;21.4;0.7
1984;WI    ;Marinette;880;189700;216;21.1;-0.3
1985;WI    ;Marinette;850;189000;222;21.1;-0.1
1986;WI    ;Marinette;840;189000;225;21.1;0.0
1987;WI    ;Marinette;790;184000;233;20.5;-0.6
1988;WI    ;Marinette;800;183000;229;20.4;-0.1
1989;WI    ;Marinette;780;183000;235;20.4;0.0
1990;WI    ;Marinette;760;183000;241;20.4;0.0
1991;WI    ;Marinette;740;181000;245;20.2;-0.2
1992;WI    ;Marinette;710;165000;232;18.4;-1.8
1993;WI    ;Marinette;730;161000;221;17.9;-0.4
1994;WI    ;Marinette;740;158000;214;17.6;-0.3
1995;WI    ;Marinette;740;156000;211;17.4;-0.2
1996;WI    ;Marinette;740;152000;205;16.9;-0.4
1997;WI    ;Marinette;670;149000;222;16.6;-0.3
1998;WI    ;Marinette;650;149000;229;16.6;0.0
1999;WI    ;Marinette;650;148000;228;16.5;-0.1
1970;WI    ;Marquette;870;189000;217;64.9;
1971;WI    ;Marquette;850;186300;219;64.0;-0.9
1972;WI    ;Marquette;800;183200;229;62.9;-1.1
1973;WI    ;Marquette;770;178100;231;61.2;-1.8
1974;WI    ;Marquette;760;177100;233;60.8;-0.3
1975;WI    ;Marquette;700;172000;246;59.1;-1.8
1976;WI    ;Marquette;690;172000;249;59.1;0.0
1977;WI    ;Marquette;620;157700;254;54.2;-4.9
1978;WI    ;Marquette;610;157700;259;54.2;0.0
1979;WI    ;Marquette;600;155600;259;53.4;-0.7
1980;WI    ;Marquette;590;155600;264;53.4;0.0
1981;WI    ;Marquette;590;156600;265;53.8;0.3
1982;WI    ;Marquette;570;155800;273;53.5;-0.3
1983;WI    ;Marquette;590;159300;270;54.7;1.2
1984;WI    ;Marquette;580;155600;268;53.4;-1.3
1985;WI    ;Marquette;560;154000;275;52.9;-0.5
1986;WI    ;Marquette;550;153000;278;52.5;-0.3
1987;WI    ;Marquette;540;154000;285;52.9;0.3
1988;WI    ;Marquette;550;155000;282;53.2;0.3
1989;WI    ;Marquette;540;150000;278;51.5;-1.7
1990;WI    ;Marquette;540;150000;278;51.5;0.0
1991;WI    ;Marquette;530;150000;283;51.5;0.0
1992;WI    ;Marquette;520;152000;292;52.2;0.7
1993;WI    ;Marquette;510;150000;294;51.5;-0.7
1994;WI    ;Marquette;510;148000;290;50.8;-0.7
1995;WI    ;Marquette;500;145000;290;49.8;-1.0
1996;WI    ;Marquette;480;142000;296;48.8;-1.0
1997;WI    ;Marquette;530;138000;260;47.4;-1.4
1998;WI    ;Marquette;530;136000;257;46.7;-0.7
1999;WI    ;Marquette;530;136000;257;46.7;0.0
1970;WI    ;Milwaukee;210;18000;86;11.6;
1971;WI    ;Milwaukee;200;17200;86;11.1;-0.5
1972;WI    ;Milwaukee;200;17100;86;11.0;-0.1
1973;WI    ;Milwaukee;200;17100;86;11.0;0.0
1974;WI    ;Milwaukee;200;17100;86;11.0;0.0
1975;WI    ;Milwaukee;180;16000;89;10.3;-0.7
1976;WI    ;Milwaukee;180;16000;89;10.3;0.0
1977;WI    ;Milwaukee;170;15400;91;9.9;-0.4
1978;WI    ;Milwaukee;170;15000;88;9.7;-0.3
1979;WI    ;Milwaukee;170;15000;88;9.7;0.0
1980;WI    ;Milwaukee;200;14500;73;9.4;-0.3
1981;WI    ;Milwaukee;200;14500;73;9.4;0.0
1982;WI    ;Milwaukee;190;14400;76;9.3;-0.1
1983;WI    ;Milwaukee;180;14800;82;9.6;0.3
1984;WI    ;Milwaukee;180;14200;79;9.2;-0.4
1985;WI    ;Milwaukee;170;14000;82;9.0;-0.1
1986;WI    ;Milwaukee;170;14000;82;9.0;0.0
1987;WI    ;Milwaukee;150;13000;87;8.4;-0.6
1988;WI    ;Milwaukee;150;13000;87;8.4;0.0
1989;WI    ;Milwaukee;140;14000;100;9.0;0.6
1990;WI    ;Milwaukee;130;14000;108;9.0;0.0
1991;WI    ;Milwaukee;130;14000;108;9.0;0.0
1992;WI    ;Milwaukee;120;10000;83;6.5;-2.6
1993;WI    ;Milwaukee;120;10000;83;6.5;0.0
1994;WI    ;Milwaukee;110;10000;91;6.5;0.0
1995;WI    ;Milwaukee;110;10000;91;6.5;0.0
1996;WI    ;Milwaukee;110;10000;91;6.5;0.0
1997;WI    ;Milwaukee;100;8000;80;5.2;-1.3
1998;WI    ;Milwaukee;100;8000;80;5.2;0.0
1999;WI    ;Milwaukee;100;7000;70;4.5;-0.6
1970;WI    ;Monroe;2120;408000;192;70.8;
1971;WI    ;Monroe;2100;406200;193;70.4;-0.3
1972;WI    ;Monroe;2100;405500;193;70.3;-0.1
1973;WI    ;Monroe;2110;407000;193;70.6;0.3
1974;WI    ;Monroe;2090;405700;194;70.4;-0.2
1975;WI    ;Monroe;1990;402000;202;69.7;-0.6
1976;WI    ;Monroe;1940;393000;203;68.2;-1.6
1977;WI    ;Monroe;1950;393000;202;68.2;0.0
1978;WI    ;Monroe;1940;391500;202;67.9;-0.3
1979;WI    ;Monroe;1900;389000;205;67.5;-0.4
1980;WI    ;Monroe;1880;386900;206;67.1;-0.4
1981;WI    ;Monroe;1870;386900;207;67.1;0.0
1982;WI    ;Monroe;1830;384800;210;66.7;-0.4
1983;WI    ;Monroe;1900;388900;205;67.4;0.7
1984;WI    ;Monroe;1850;388500;210;67.4;-0.1
1985;WI    ;Monroe;1790;386000;216;66.9;-0.4
1986;WI    ;Monroe;1770;384000;217;66.6;-0.3
1987;WI    ;Monroe;1760;382000;217;66.2;-0.3
1988;WI    ;Monroe;1790;378000;211;65.6;-0.7
1989;WI    ;Monroe;1780;380000;213;65.9;0.3
1990;WI    ;Monroe;1770;380000;215;65.9;0.0
1991;WI    ;Monroe;1750;376000;215;65.2;-0.7
1992;WI    ;Monroe;1810;388000;214;67.3;2.1
1993;WI    ;Monroe;1860;384000;206;66.6;-0.7
1994;WI    ;Monroe;1900;384000;202;66.6;0.0
1995;WI    ;Monroe;1920;384000;200;66.6;0.0
1996;WI    ;Monroe;1900;380000;200;65.9;-0.7
1997;WI    ;Monroe;1890;368000;195;63.8;-2.1
1998;WI    ;Monroe;1880;366000;195;63.5;-0.3
1999;WI    ;Monroe;1880;365000;194;63.3;-0.2
1970;WI    ;Oconto;1790;296000;165;46.3;
1971;WI    ;Oconto;1760;292500;166;45.8;-0.5
1972;WI    ;Oconto;1750;289200;165;45.3;-0.5
1973;WI    ;Oconto;1720;284600;165;44.6;-0.7
1974;WI    ;Oconto;1690;284300;168;44.5;0.0
1975;WI    ;Oconto;1570;275000;175;43.1;-1.5
1976;WI    ;Oconto;1500;267000;178;41.8;-1.3
1977;WI    ;Oconto;1490;264200;177;41.4;-0.4
1978;WI    ;Oconto;1470;263900;180;41.3;0.0
1979;WI    ;Oconto;1430;262700;184;41.1;-0.2
1980;WI    ;Oconto;1400;261000;186;40.9;-0.3
1981;WI    ;Oconto;1370;261000;191;40.9;0.0
1982;WI    ;Oconto;1350;259500;192;40.6;-0.2
1983;WI    ;Oconto;1320;258200;196;40.4;-0.2
1984;WI    ;Oconto;1290;255200;198;40.0;-0.5
1985;WI    ;Oconto;1240;257000;207;40.2;0.3
1986;WI    ;Oconto;1230;257000;209;40.2;0.0
1987;WI    ;Oconto;1210;253000;209;39.6;-0.6
1988;WI    ;Oconto;1220;253000;207;39.6;0.0
1989;WI    ;Oconto;1200;251000;209;39.3;-0.3
1990;WI    ;Oconto;1180;251000;213;39.3;0.0
1991;WI    ;Oconto;1150;248000;216;38.8;-0.5
1992;WI    ;Oconto;1060;234000;221;36.6;-2.2
1993;WI    ;Oconto;1090;229000;210;35.9;-0.8
1994;WI    ;Oconto;1080;226000;209;35.4;-0.5
1995;WI    ;Oconto;1080;224000;207;35.1;-0.3
1996;WI    ;Oconto;1090;219000;201;34.3;-0.8
1997;WI    ;Oconto;1140;224000;196;35.1;0.8
1998;WI    ;Oconto;1110;221000;199;34.6;-0.5
1999;WI    ;Oconto;1110;219000;197;34.3;-0.3
1970;WI    ;Oneida;180;50000;278;7.0;
1971;WI    ;Oneida;180;44300;246;6.2;-0.8
1972;WI    ;Oneida;180;43200;240;6.0;-0.2
1973;WI    ;Oneida;170;42000;247;5.8;-0.2
1974;WI    ;Oneida;160;41000;256;5.7;-0.1
1975;WI    ;Oneida;150;40000;267;5.6;-0.1
1976;WI    ;Oneida;140;40000;286;5.6;0.0
1977;WI    ;Oneida;130;36900;284;5.1;-0.4
1978;WI    ;Oneida;130;36900;284;5.1;0.0
1979;WI    ;Oneida;130;36400;280;5.1;-0.1
1980;WI    ;Oneida;120;35600;297;4.9;-0.1
1981;WI    ;Oneida;120;37100;309;5.2;0.2
1982;WI    ;Oneida;110;36900;335;5.1;0.0
1983;WI    ;Oneida;130;43400;334;6.0;0.9
1984;WI    ;Oneida;130;42500;327;5.9;-0.1
1985;WI    ;Oneida;130;42000;323;5.8;-0.1
1986;WI    ;Oneida;120;40000;333;5.6;-0.3
1987;WI    ;Oneida;120;45000;375;6.3;0.7
1988;WI    ;Oneida;120;45000;375;6.3;0.0
1989;WI    ;Oneida;120;43000;358;6.0;-0.3
1990;WI    ;Oneida;120;43000;358;6.0;0.0
1991;WI    ;Oneida;120;42200;352;5.9;-0.1
1992;WI    ;Oneida;120;36000;300;5.0;-0.9
1993;WI    ;Oneida;120;36000;300;5.0;0.0
1994;WI    ;Oneida;120;35000;292;4.9;-0.1
1995;WI    ;Oneida;120;35000;292;4.9;0.0
1996;WI    ;Oneida;120;34000;283;4.7;-0.1
1997;WI    ;Oneida;140;40000;286;5.6;0.8
1998;WI    ;Oneida;140;40000;286;5.6;0.0
1999;WI    ;Oneida;140;39000;279;5.4;-0.1
1970;WI    ;Outagamie;2290;329000;144;80.3;
1971;WI    ;Outagamie;2270;325300;143;79.4;-0.9
1972;WI    ;Outagamie;2270;331000;146;80.8;1.4
1973;WI    ;Outagamie;2270;330000;145;80.6;-0.2
1974;WI    ;Outagamie;2270;330000;145;80.6;0.0
1975;WI    ;Outagamie;2150;326000;152;79.6;-1.0
1976;WI    ;Outagamie;2100;323000;154;78.9;-0.7
1977;WI    ;Outagamie;2100;320800;153;78.3;-0.5
1978;WI    ;Outagamie;2060;318000;154;77.6;-0.7
1979;WI    ;Outagamie;2070;318000;154;77.6;0.0
1980;WI    ;Outagamie;2060;316600;154;77.3;-0.3
1981;WI    ;Outagamie;2020;316600;157;77.3;0.0
1982;WI    ;Outagamie;1970;314900;160;76.9;-0.4
1983;WI    ;Outagamie;1820;310500;171;75.8;-1.1
1984;WI    ;Outagamie;1770;305600;173;74.6;-1.2
1985;WI    ;Outagamie;1710;298000;174;72.8;-1.9
1986;WI    ;Outagamie;1690;296000;175;72.3;-0.5
1987;WI    ;Outagamie;1700;297000;175;72.5;0.2
1988;WI    ;Outagamie;1710;299000;175;73.0;0.5
1989;WI    ;Outagamie;1670;297000;178;72.5;-0.5
1990;WI    ;Outagamie;1660;297000;179;72.5;0.0
1991;WI    ;Outagamie;1660;297000;179;72.5;0.0
1992;WI    ;Outagamie;1660;294000;177;71.8;-0.7
1993;WI    ;Outagamie;1660;290000;175;70.8;-1.0
1994;WI    ;Outagamie;1630;284000;174;69.3;-1.5
1995;WI    ;Outagamie;1640;283000;173;69.1;-0.2
1996;WI    ;Outagamie;1600;279000;174;68.1;-1.0
1997;WI    ;Outagamie;1560;280000;179;68.4;0.2
1998;WI    ;Outagamie;1550;278000;179;67.9;-0.5
1999;WI    ;Outagamie;1550;277000;179;67.6;-0.2
1970;WI    ;Ozaukee;730;110000;151;74.1;
1971;WI    ;Ozaukee;700;108000;154;72.7;-1.3
1972;WI    ;Ozaukee;670;107900;161;72.7;-0.1
1973;WI    ;Ozaukee;660;107400;163;72.3;-0.3
1974;WI    ;Ozaukee;660;107000;162;72.1;-0.3
1975;WI    ;Ozaukee;640;105000;164;70.7;-1.3
1976;WI    ;Ozaukee;600;104000;173;70.0;-0.7
1977;WI    ;Ozaukee;550;99800;181;67.2;-2.8
1978;WI    ;Ozaukee;560;99800;178;67.2;0.0
1979;WI    ;Ozaukee;560;99800;178;67.2;0.0
1980;WI    ;Ozaukee;550;98300;179;66.2;-1.0
1981;WI    ;Ozaukee;540;98300;182;66.2;0.0
1982;WI    ;Ozaukee;540;97800;181;65.9;-0.3
1983;WI    ;Ozaukee;570;94300;165;63.5;-2.4
1984;WI    ;Ozaukee;560;90400;161;60.9;-2.6
1985;WI    ;Ozaukee;540;89000;165;59.9;-0.9
1986;WI    ;Ozaukee;530;89000;168;59.9;0.0
1987;WI    ;Ozaukee;520;89000;171;59.9;0.0
1988;WI    ;Ozaukee;530;89000;168;59.9;0.0
1989;WI    ;Ozaukee;530;89000;168;59.9;0.0
1990;WI    ;Ozaukee;520;89000;171;59.9;0.0
1991;WI    ;Ozaukee;520;89000;171;59.9;0.0
1992;WI    ;Ozaukee;540;87000;161;58.6;-1.3
1993;WI    ;Ozaukee;540;85000;157;57.2;-1.3
1994;WI    ;Ozaukee;530;84000;158;56.6;-0.7
1995;WI    ;Ozaukee;530;84000;158;56.6;0.0
1996;WI    ;Ozaukee;500;82000;164;55.2;-1.3
1997;WI    ;Ozaukee;520;77000;148;51.9;-3.4
1998;WI    ;Ozaukee;500;76000;152;51.2;-0.7
1999;WI    ;Ozaukee;500;75000;150;50.5;-0.7
1970;WI    ;Pepin;630;134000;213;90.2;
1971;WI    ;Pepin;610;133700;219;90.0;-0.2
1972;WI    ;Pepin;610;133300;219;89.8;-0.3
1973;WI    ;Pepin;600;130800;218;88.1;-1.7
1974;WI    ;Pepin;600;130800;218;88.1;0.0
1975;WI    ;Pepin;580;130000;224;87.6;-0.5
1976;WI    ;Pepin;570;127000;223;85.5;-2.0
1977;WI    ;Pepin;560;126800;226;85.4;-0.1
1978;WI    ;Pepin;550;124700;227;84.0;-1.4
1979;WI    ;Pepin;540;123500;229;83.2;-0.8
1980;WI    ;Pepin;540;123500;229;83.2;0.0
1981;WI    ;Pepin;540;124000;230;83.5;0.3
1982;WI    ;Pepin;520;123300;237;83.0;-0.5
1983;WI    ;Pepin;500;126100;252;84.9;1.9
1984;WI    ;Pepin;490;126000;257;84.9;-0.1
1985;WI    ;Pepin;470;124000;264;83.5;-1.3
1986;WI    ;Pepin;460;122000;265;82.2;-1.3
1987;WI    ;Pepin;470;120000;255;80.8;-1.3
1988;WI    ;Pepin;480;120000;250;80.8;0.0
1989;WI    ;Pepin;470;120000;255;80.8;0.0
1990;WI    ;Pepin;470;120000;255;80.8;0.0
1991;WI    ;Pepin;460;119000;259;80.1;-0.7
1992;WI    ;Pepin;490;127000;259;85.5;5.4
1993;WI    ;Pepin;500;126000;252;84.9;-0.7
1994;WI    ;Pepin;510;126000;247;84.9;0.0
1995;WI    ;Pepin;510;125000;245;84.2;-0.7
1996;WI    ;Pepin;500;124000;248;83.5;-0.7
1997;WI    ;Pepin;510;115000;225;77.5;-6.1
1998;WI    ;Pepin;500;113000;226;76.1;-1.3
1999;WI    ;Pepin;500;113000;226;76.1;0.0
1970;WI    ;Pierce;1740;337000;194;91.4;
1971;WI    ;Pierce;1730;335000;194;90.9;-0.5
1972;WI    ;Pierce;1720;334500;194;90.7;-0.1
1973;WI    ;Pierce;1730;335600;194;91.0;0.3
1974;WI    ;Pierce;1720;334800;195;90.8;-0.2
1975;WI    ;Pierce;1650;332000;201;90.1;-0.8
1976;WI    ;Pierce;1620;328000;202;89.0;-1.1
1977;WI    ;Pierce;1600;328200;205;89.0;0.1
1978;WI    ;Pierce;1590;326400;205;88.5;-0.5
1979;WI    ;Pierce;1590;326400;205;88.5;0.0
1980;WI    ;Pierce;1570;324700;207;88.1;-0.5
1981;WI    ;Pierce;1560;324600;208;88.1;0.0
1982;WI    ;Pierce;1520;322900;212;87.6;-0.5
1983;WI    ;Pierce;1520;315300;207;85.5;-2.1
1984;WI    ;Pierce;1480;315000;213;85.4;-0.1
1985;WI    ;Pierce;1430;307000;215;83.3;-2.2
1986;WI    ;Pierce;1410;305000;216;82.7;-0.5
1987;WI    ;Pierce;1360;297000;218;80.6;-2.2
1988;WI    ;Pierce;1380;296000;214;80.3;-0.3
1989;WI    ;Pierce;1360;298000;219;80.8;0.5
1990;WI    ;Pierce;1340;298000;222;80.8;0.0
1991;WI    ;Pierce;1310;296000;226;80.3;-0.5
1992;WI    ;Pierce;1400;305000;218;82.7;2.4
1993;WI    ;Pierce;1460;302000;207;81.9;-0.8
1994;WI    ;Pierce;1490;302000;203;81.9;0.0
1995;WI    ;Pierce;1500;303000;202;82.2;0.3
1996;WI    ;Pierce;1490;301000;202;81.7;-0.5
1997;WI    ;Pierce;1520;297000;195;80.6;-1.1
1998;WI    ;Pierce;1520;291000;191;78.9;-1.6
1999;WI    ;Pierce;1520;289000;190;78.4;-0.5
1970;WI    ;Polk;2370;425000;179;72.4;
1971;WI    ;Polk;2360;423700;180;72.2;-0.2
1972;WI    ;Polk;2320;420300;181;71.6;-0.6
1973;WI    ;Polk;2280;416900;183;71.0;-0.6
1974;WI    ;Polk;2250;414100;184;70.6;-0.5
1975;WI    ;Polk;2140;407000;190;69.3;-1.2
1976;WI    ;Polk;2100;405000;193;69.0;-0.3
1977;WI    ;Polk;1980;388900;196;66.3;-2.7
1978;WI    ;Polk;1970;388000;197;66.1;-0.2
1979;WI    ;Polk;1950;388000;199;66.1;0.0
1980;WI    ;Polk;1920;384100;200;65.4;-0.7
1981;WI    ;Polk;1900;384000;202;65.4;0.0
1982;WI    ;Polk;1860;381800;205;65.1;-0.4
1983;WI    ;Polk;1840;357900;195;61.0;-4.1
1984;WI    ;Polk;1800;354700;197;60.4;-0.5
1985;WI    ;Polk;1740;354000;203;60.3;-0.1
1986;WI    ;Polk;1720;353000;205;60.1;-0.2
1987;WI    ;Polk;1620;344000;212;58.6;-1.5
1988;WI    ;Polk;1630;342000;210;58.3;-0.3
1989;WI    ;Polk;1630;346000;212;59.0;0.7
1990;WI    ;Polk;1600;346000;216;59.0;0.0
1991;WI    ;Polk;1570;342000;218;58.3;-0.7
1992;WI    ;Polk;1550;319000;206;54.4;-3.9
1993;WI    ;Polk;1550;315000;203;53.7;-0.7
1994;WI    ;Polk;1550;309000;199;52.7;-1.0
1995;WI    ;Polk;1550;308000;199;52.5;-0.2
1996;WI    ;Polk;1530;303000;198;51.6;-0.9
1997;WI    ;Polk;1570;300000;191;51.1;-0.5
1998;WI    ;Polk;1550;298000;192;50.8;-0.3
1999;WI    ;Polk;1550;297000;192;50.6;-0.2
1970;WI    ;Portage;1640;347000;212;67.3;
1971;WI    ;Portage;1630;343000;210;66.5;-0.8
1972;WI    ;Portage;1610;338100;210;65.5;-0.9
1973;WI    ;Portage;1590;334500;210;64.8;-0.7
1974;WI    ;Portage;1550;329400;213;63.9;-1.0
1975;WI    ;Portage;1470;322000;219;62.4;-1.4
1976;WI    ;Portage;1430;319000;223;61.8;-0.6
1977;WI    ;Portage;1380;310900;225;60.3;-1.6
1978;WI    ;Portage;1370;310700;227;60.2;0.0
1979;WI    ;Portage;1340;310200;231;60.1;-0.1
1980;WI    ;Portage;1300;309000;238;59.9;-0.2
1981;WI    ;Portage;1290;302000;234;58.5;-1.4
1982;WI    ;Portage;1270;300400;237;58.2;-0.3
1983;WI    ;Portage;1200;299600;250;58.1;-0.2
1984;WI    ;Portage;1170;292600;250;56.7;-1.4
1985;WI    ;Portage;1130;292000;258;56.6;-0.1
1986;WI    ;Portage;1110;291000;262;56.4;-0.2
1987;WI    ;Portage;1140;294000;258;57.0;0.6
1988;WI    ;Portage;1150;300000;261;58.2;1.2
1989;WI    ;Portage;1120;291000;260;56.4;-1.7
1990;WI    ;Portage;1100;291000;265;56.4;0.0
1991;WI    ;Portage;1090;291000;267;56.4;0.0
1992;WI    ;Portage;1130;298000;264;57.8;1.4
1993;WI    ;Portage;1130;294000;260;57.0;-0.8
1994;WI    ;Portage;1130;290000;257;56.2;-0.8
1995;WI    ;Portage;1130;285000;252;55.2;-1.0
1996;WI    ;Portage;1120;283000;253;54.9;-0.4
1997;WI    ;Portage;1090;294000;270;57.0;2.1
1998;WI    ;Portage;1090;292000;268;56.6;-0.4
1999;WI    ;Portage;1090;292000;268;56.6;0.0
1970;WI    ;Price;960;165000;172;20.6;
1971;WI    ;Price;940;162700;173;20.3;-0.3
1972;WI    ;Price;920;161200;175;20.1;-0.2
1973;WI    ;Price;890;157000;176;19.6;-0.5
1974;WI    ;Price;880;155600;177;19.4;-0.2
1975;WI    ;Price;850;154000;181;19.2;-0.2
1976;WI    ;Price;830;151000;182;18.8;-0.4
1977;WI    ;Price;800;145800;182;18.2;-0.6
1978;WI    ;Price;790;144800;183;18.1;-0.1
1979;WI    ;Price;780;144800;186;18.1;0.0
1980;WI    ;Price;760;143200;188;17.9;-0.2
1981;WI    ;Price;740;143000;193;17.8;0.0
1982;WI    ;Price;710;142300;200;17.7;-0.1
1983;WI    ;Price;600;140300;234;17.5;-0.2
1984;WI    ;Price;580;137400;237;17.1;-0.4
1985;WI    ;Price;560;137000;245;17.1;0.0
1986;WI    ;Price;550;136000;247;17.0;-0.1
1987;WI    ;Price;530;134000;253;16.7;-0.2
1988;WI    ;Price;540;134000;248;16.7;0.0
1989;WI    ;Price;530;132000;249;16.5;-0.2
1990;WI    ;Price;520;132000;254;16.5;0.0
1991;WI    ;Price;520;130000;250;16.2;-0.2
1992;WI    ;Price;460;107000;233;13.3;-2.9
1993;WI    ;Price;470;106000;226;13.2;-0.1
1994;WI    ;Price;450;103000;229;12.8;-0.4
1995;WI    ;Price;440;103000;234;12.8;0.0
1996;WI    ;Price;430;101000;235;12.6;-0.2
1997;WI    ;Price;440;102000;232;12.7;0.1
1998;WI    ;Price;430;101000;235;12.6;-0.1
1999;WI    ;Price;430;99000;230;12.3;-0.2
1970;WI    ;Racine;1020;151000;148;70.9;
1971;WI    ;Racine;990;148500;150;69.7;-1.2
1972;WI    ;Racine;940;148300;158;69.6;-0.1
1973;WI    ;Racine;910;148200;163;69.5;0.0
1974;WI    ;Racine;900;147000;163;69.0;-0.6
1975;WI    ;Racine;840;142000;169;66.6;-2.3
1976;WI    ;Racine;820;142000;173;66.6;0.0
1977;WI    ;Racine;780;141000;181;66.2;-0.5
1978;WI    ;Racine;790;141000;178;66.2;0.0
1979;WI    ;Racine;790;139000;176;65.2;-0.9
1980;WI    ;Racine;790;142000;180;66.6;1.4
1981;WI    ;Racine;780;146000;187;68.5;1.9
1982;WI    ;Racine;780;145300;186;68.2;-0.3
1983;WI    ;Racine;870;144500;166;67.8;-0.4
1984;WI    ;Racine;850;138600;163;65.0;-2.8
1985;WI    ;Racine;820;136000;166;63.8;-1.2
1986;WI    ;Racine;800;135000;169;63.3;-0.5
1987;WI    ;Racine;780;139000;178;65.2;1.9
1988;WI    ;Racine;780;141000;181;66.2;0.9
1989;WI    ;Racine;770;136000;177;63.8;-2.3
1990;WI    ;Racine;760;136000;179;63.8;0.0
1991;WI    ;Racine;760;136000;179;63.8;0.0
1992;WI    ;Racine;740;144000;195;67.6;3.8
1993;WI    ;Racine;730;141000;193;66.2;-1.4
1994;WI    ;Racine;720;141000;196;66.2;0.0
1995;WI    ;Racine;720;139000;193;65.2;-0.9
1996;WI    ;Racine;690;136000;197;63.8;-1.4
1997;WI    ;Racine;670;136000;203;63.8;0.0
1998;WI    ;Racine;650;129000;198;60.5;-3.3
1999;WI    ;Racine;650;127000;195;59.6;-0.9
1970;WI    ;Richland;1710;355000;208;94.7;
1971;WI    ;Richland;1690;350600;207;93.5;-1.2
1972;WI    ;Richland;1680;349400;208;93.2;-0.3
1973;WI    ;Richland;1680;349300;208;93.1;0.0
1974;WI    ;Richland;1660;346200;209;92.3;-0.8
1975;WI    ;Richland;1580;340000;215;90.7;-1.7
1976;WI    ;Richland;1560;337000;216;89.9;-0.8
1977;WI    ;Richland;1510;334400;221;89.2;-0.7
1978;WI    ;Richland;1500;332700;222;88.7;-0.5
1979;WI    ;Richland;1500;332200;221;88.6;-0.1
1980;WI    ;Richland;1490;332200;223;88.6;0.0
1981;WI    ;Richland;1480;332200;224;88.6;0.0
1982;WI    ;Richland;1440;330400;229;88.1;-0.5
1983;WI    ;Richland;1320;316200;240;84.3;-3.8
1984;WI    ;Richland;1290;315800;245;84.2;-0.1
1985;WI    ;Richland;1250;314000;251;83.7;-0.5
1986;WI    ;Richland;1240;312000;252;83.2;-0.5
1987;WI    ;Richland;1250;311000;249;82.9;-0.3
1988;WI    ;Richland;1280;310000;242;82.7;-0.3
1989;WI    ;Richland;1270;310000;244;82.7;0.0
1990;WI    ;Richland;1260;310000;246;82.7;0.0
1991;WI    ;Richland;1240;307000;248;81.9;-0.8
1992;WI    ;Richland;1250;306000;245;81.6;-0.3
1993;WI    ;Richland;1280;302000;236;80.5;-1.1
1994;WI    ;Richland;1280;296000;231;78.9;-1.6
1995;WI    ;Richland;1270;293000;231;78.1;-0.8
1996;WI    ;Richland;1230;286000;233;76.3;-1.9
1997;WI    ;Richland;1240;267000;215;71.2;-5.1
1998;WI    ;Richland;1230;265000;215;70.7;-0.5
1999;WI    ;Richland;1230;263000;214;70.1;-0.5
1970;WI    ;Rock;2190;420000;192;91.1;
1971;WI    ;Rock;2140;416200;194;90.3;-0.8
1972;WI    ;Rock;2080;409600;197;88.9;-1.4
1973;WI    ;Rock;2070;409000;198;88.8;-0.1
1974;WI    ;Rock;2050;406300;198;88.2;-0.6
1975;WI    ;Rock;1960;400000;204;86.8;-1.4
